pi,x1,x2,x3
0.1476389794,1.5356565933,0.9768378651,1.7511791699
0.2212140959,3.6704753793,2.9137294394,2.6932368694
0.1143666349,1.1808667857,0.6512252434,1.3319187555
0.1041405584,0.9509863656,0.6948640483,1.3236102412
0.1020727856,0.6941188635,0.3256126217,1.3363925709
0.1288786405,0.7668643682,3.2057737496,1.310188795
0.1135019299,0.8966293511,0.9634105405,1.4450423734
0.3198280616,5.0968320073,5.9583752938,3.4390858078
0.1340292746,2.024911021,1.0003356831,1.7646006161
0.0981628152,0.5796674196,0.6579389057,1.1874784298
0.1538422979,1.2744276065,1.8294729775,2.0490074521
0.1025615319,0.9393788983,1.3695871098,1.1325144121
0.1079001454,0.9194522037,0.3188989594,1.3025193972
0.0963206176,0.9859370319,0.510238335,1.2801503202
0.0992906913,0.8637071128,0.4464585431,1.2859023686
0.1380896286,1.1681476913,1.2118160457,1.4814720131
0.1021479773,0.8346085223,0.5471634777,1.3875218898
0.0972981102,0.6037452255,0.5068815039,1.0654071811
0.0970349391,1.2526779988,0.5639476334,1.156161722
0.0998546293,0.9411551697,0.4900973481,1.2596985927
0.0999674169,1.0733600965,0.3860355824,1.2942108829
0.731841195,7.4229624143,16.304128902,5.7328748738
0.1078625495,0.6868864849,1.4736488755,1.2277427684
0.3858840042,4.4360799357,12.208794898,2.2445770966
0.1357962805,2.9728651902,0.5203088285,1.8540769241
0.1126372249,1.0685185909,0.7217186976,1.4373729756
0.101095293,0.8723086197,0.7687143337,1.39838687
0.1206451451,0.8372923634,0.3860355824,1.6073779607
0.0991779037,0.8652239398,1.1547499161,1.1357099945
0.1147425936,0.7667705989,0.8627056059,1.181087265
0.1227881097,1.3885083461,0.8962739174,1.5754221365
0.1027871071,0.9576527277,0.2517623364,1.3447010852
0.1003433756,1.0216291069,0.5505203088,1.2782329708
0.1031254699,1.0856589298,0.6310842565,1.3402272698
0.094177653,0.5330203753,0.8157099698,1.0174734447
0.1317359266,1.5168497854,0.3860355824,1.8227602163
0.5741641185,6.4828406498,6.3813360188,4.0922628559
0.2551631661,3.4256939078,3.4004699564,2.8875282809
0.1075617825,1.812378884,1.1178247734,1.3018802807
0.6056694571,8.8571883717,12.346424975,5.4465506884
0.1026743195,1.3417252635,0.6545820745,1.4098909667
0.0986515615,1.1773395071,0.3188989594,1.2648115246
0.1163216201,1.3555015697,1.10775428,1.3370316874
0.0959822547,1.0374489027,0.3591809332,1.1855610804
0.1011704847,0.9654384906,0.2987579725,1.3849654238
0.0960950424,1.0211670626,0.7015777106,1.0903327241
0.1588425485,1.5724486351,0.3893924136,2.0534812675
0.0939896737,1.0450257497,0.3054716348,1.22199072
0.105118051,0.8645111963,0.6512252434,1.2526683113
0.0984259863,1.1217178224,0.3524672709,1.2782329708
0.1321118853,1.5766590202,2.0241691843,1.1510487902
0.0953807208,0.804409965,0.2517623364,1.2590594762
0.0978244524,1.1011891583,0.3927492447,1.2961282323
0.09447842,1.559193647,0.46659953,1.2322165838
0.1313599679,1.0988988565,0.6075864384,1.6968542687
0.1094039801,1.2450865763,0.6612957368,1.4022215689
0.1000426087,1.187493308,0.798925814,1.4098909667
0.1741816632,2.4704242794,2.5411211816,2.0662635972
0.104554113,1.0732959642,0.1678415576,1.4245906459
0.1080505288,1.1170900912,0.2416918429,1.3792133754
