pi,x1,x2,x3
0.1544137886,1.1902685485,0.8138494239,1.3655619237
0.231365096,2.8449403474,2.4275646045,2.100174433
0.1196146536,0.9152753298,0.5425662826,1.0386244704
0.1089193263,0.737097842,0.578923817,1.032145527
0.1067566682,0.5380029987,0.2712831413,1.0421131323
0.1347925814,0.5943871452,2.6708804117,1.0216795415
0.1187102693,0.6949663882,0.8026624902,1.1268377772
0.334504227,3.9504918363,4.9642018123,2.6817842013
0.1401795662,1.5694836413,0.8334265578,1.3760279093
0.1026672783,0.4492930914,0.5481597494,0.9259905307
0.1609017629,0.987793172,1.5242197114,1.5978071268
0.1072678419,0.7281010368,1.1410672335,0.883129828
0.1128514319,0.7126561008,0.2656896745,1.0156989783
0.1007405466,0.7641876738,0.4251034791,0.998255669
0.10384691,0.6694487661,0.3719655442,1.0027410914
0.1444262403,0.9054169161,1.009620763,1.1552454522
0.1068353103,0.6468948062,0.4558675467,1.0819835534
0.101762894,0.4679555028,0.4223067457,0.8307999003
0.1014876466,0.9709353184,0.4698512138,0.9015698978
0.1044367259,0.729477803,0.4083230786,0.9823075006
0.104554689,0.8319482166,0.3216243428,1.0092200349
0.7654236844,5.753446921,13.583734199,4.4704709692
0.1128121109,0.5323972709,1.2277659694,0.9573884874
0.4035913232,3.4383510279,10.171719432,1.7503114876
0.1420276558,2.3042312651,0.4334936794,1.4458011462
0.1178058851,0.8281956251,0.6012976843,1.120857214
0.1057343207,0.6761156883,0.6404519521,1.0904560179
0.1261812701,0.6489750185,0.3216243428,1.2534263643
0.1037289469,0.67062444,0.9620762949,0.8856217294
0.1200078642,0.5943144658,0.7187604878,0.9210067281
0.1284225703,1.0762157509,0.7467278219,1.2285073511
0.1075037683,0.7422648573,0.2097550062,1.0485920757
0.1049478996,0.7918521625,0.4586642801,0.9967605283
0.1078576578,0.8414808911,0.5257858821,1.0451034139
0.0984992463,0.4131375408,0.6796062199,0.7934213805
0.1377809817,1.1756916229,0.3216243428,1.4213805133
0.6005111737,5.0247700977,5.3165902226,3.1911288312
0.26687201,2.6552132378,2.8330909498,2.2516820333
0.1124975424,1.4047525944,0.9313122273,1.015200598
0.633462219,6.8650978304,10.286385502,4.2471966109
0.1073858051,1.0399547586,0.545363016,1.0994268627
0.1031784521,0.9125413796,0.2656896745,0.9862945427
0.1216593486,1.0506326043,0.9229220271,1.0426115126
0.1003866571,0.8041138917,0.2992504754,0.92449539
0.1058129628,0.7482995065,0.248909274,1.0799900324
0.1005046202,0.7914940376,0.5845172838,0.8502367306
0.1661314634,1.2187856078,0.3244210762,1.6012957886
0.0983026411,0.8099866126,0.2545027408,0.952903065
0.1099416738,0.6700720013,0.5425662826,0.9768253177
0.1029425257,0.8694296955,0.2936570086,0.9967605283
0.1381741923,1.2220490256,1.6864302495,0.8975828557
0.0997575202,0.6234882757,0.2097550062,0.9818091203
0.1023133888,0.8535181803,0.3272178096,1.0107151757
0.0988138148,1.2085118295,0.3887459447,0.9608771492
0.1373877712,0.8517429955,0.5062087482,1.3231996013
0.1144242742,0.9650513001,0.5509564828,1.0934462995
0.1046333311,0.9204114658,0.6656225529,1.0994268627
0.1821744544,1.9147954914,2.1171271954,1.6112633939
0.1093518579,0.8318985084,0.1398366708,1.1108896087
0.1130087162,0.8658427979,0.2013648059,1.07550461
0.1016842519,0.5459627103,0.3272178096,0.9628706703
0.1081722262,1.0538195769,0.2265354066,1.0769997508
0.1898420604,1.4531777824,1.9437297237,1.428357837
0.110767416,1.7246545235,1.3312451057,0.7655120857
0.1131266793,0.8259459531,0.7523212887,0.969847994
0.0995215938,0.9561919456,0.2936570086,1.0067281335
0.102470673,0.8102084166,0.3523884103,0.988786444
0.1021561046,0.6722742246,0.248909274,1.0027410914
0.1207156432,0.6430985318,0.4055263452,1.1118863693
0.1166262534,0.8311076964,0.5313793489,1.041614752
0.1006225834,0.5591267184,0.3663720774,0.9239970097
0.1002686939,0.5029493129,0.1845844054,0.96237229
0.1454092667,1.9189468782,1.2557333035,1.198106155
0.1037682679,1.7757165048,0.1454301376,1.0540742586
0.3765384363,3.9726703488,5.6298243652,1.9431846498
0.0993643096,0.5652065569,0.3551851438,0.9534014453
0.1373484501,0.6800708783,1.0347913637,1.2713680538
0.104515368,0.8918733182,0.3999328784,1.005731373
0.1490661249,1.2432574752,0.6012976843,1.3670570645
0.1050265417,0.864969892,0.2992504754,0.9857961624
