pi,x1,x2,x3
0.1543055856,0.7561115695,0.5628300099,0.8980750384
0.2312029706,1.8072327576,1.6788194109,1.3812000774
0.1195308356,0.581423635,0.3752200066,0.6830614526
0.1088430028,0.4682373628,0.4003636153,0.6788005126
0.1066818602,0.3417634552,0.1876100033,0.6853558049
0.1346981277,0.3775811751,1.8470881768,0.6719174558
0.118627085,0.4414735878,0.5550935149,0.741075789
0.3342698285,2.5095282795,3.4330696479,1.7637013803
0.1400813376,0.997005878,0.5763688761,0.9049580953
0.1025953359,0.285410973,0.3790882541,0.6089866502
0.1607890135,0.6274901967,1.0540974412,1.0508133479
0.1071926757,0.4625221916,0.7891224881,0.5807988935
0.1127723531,0.4527108807,0.1837417558,0.6679842804
0.1006699542,0.48544603,0.2939868093,0.656512519
0.1037741409,0.4252636582,0.2572384581,0.6594624005
0.1443250359,0.5751611318,0.6982186721,0.7597583719
0.1067604472,0.4109363789,0.3152621705,0.7115769739
0.1016915853,0.2972661675,0.2920526855,0.5463836092
0.1014165308,0.6167813376,0.3249327892,0.5929261841
0.1043635435,0.4633967748,0.2823820668,0.6460240514
0.104481424,0.5284905432,0.2224242307,0.6637233405
0.7648873259,3.6548456118,9.3940390309,2.9400485748
0.1127330596,0.3382024474,0.8490803242,0.6296358208
0.403308513,2.1841936389,7.0344080617,1.1511093194
0.1419281322,1.4637502776,0.2997891805,0.9508451411
0.1177233345,0.5261067301,0.4158366052,0.7371426137
0.1056602291,0.429498784,0.4429143377,0.7171489723
0.1260928506,0.4122578223,0.2224242307,0.8243280006
0.1036562604,0.4260104986,0.6653385684,0.5824377165
0.1199237706,0.3775350059,0.4970698025,0.605709004
0.1283325802,0.6836601551,0.51641104,0.80793977
0.1074284367,0.471519681,0.1450592809,0.6896167449
0.104874359,0.5030197447,0.3171962942,0.6555292251
0.1077820782,0.5345461224,0.3636152641,0.6873223926
0.0984302246,0.2624433576,0.4699920701,0.5218012632
0.1376844339,0.7468516574,0.2224242307,0.9347846751
0.6000903751,3.191957655,3.6767692398,2.0986768143
0.2666850036,1.6867096514,1.959267354,1.4808405196
0.1124187116,0.8923613837,0.6440632072,0.6676565158
0.6330183304,4.3610157571,7.1137071352,2.7932100283
0.1073105562,0.6606255586,0.3771541303,0.7230487353
0.1031061514,0.5796869081,0.1837417558,0.6486461683
0.1215740977,0.6674086015,0.6382608359,0.6856835695
0.1003163127,0.5108089409,0.2069512407,0.6080033563
0.1057388161,0.4753531587,0.1721370133,0.7102659154
0.1004341932,0.5027922478,0.4042318628,0.559166429
0.1660150494,0.7742268751,0.2243583545,1.0531077002
0.0982337571,0.5145395547,0.1760052608,0.6266859392
0.1098646339,0.425659565,0.3752200066,0.6424186406
0.1028703904,0.5523004472,0.2030829933,0.6555292251
0.1380773689,0.7762999433,1.1662766184,0.5903040672
0.0996876167,0.3960675087,0.1450592809,0.6456962868
0.1022416943,0.5421927444,0.2262924782,0.6647066343
0.0987445726,0.7677005137,0.2688432006,0.631930173
0.1372914989,0.541065068,0.3500763979,0.8702150464
0.1143440932,0.6130435473,0.3810223778,0.71911556
0.104560011,0.5846863373,0.4603214514,0.7230487353
0.1820467986,1.2163633376,1.4641316752,1.0596629924
0.1092752313,0.5284589664,0.0967061873,0.7305873214
0.1129295271,0.5500218902,0.1392569097,0.7073160339
0.1016129983,0.3468198184,0.2262924782,0.6332412315
0.1080964263,0.6694331084,0.1566640234,0.7082993278
0.1897090316,0.9231232189,1.344216003,0.9393733796
0.1106897974,1.0955773302,0.9206429028,0.5034464449
0.1130474076,0.5246776382,0.5202792875,0.6378299361
0.0994518556,0.6074156909,0.2030829933,0.6620845174
0.1023988684,0.5146804545,0.2436995919,0.6502849913
0.1020845203,0.4270585153,0.1721370133,0.6594624005
0.1206310537,0.4085248164,0.2804479431,0.7312428506
0.1165445294,0.5279566074,0.3674835116,0.6850280403
0.1005520737,0.3551821823,0.2533702106,0.6076755917
0.1001984322,0.3194957934,0.1276521672,0.6329134669
0.1453073734,1.2190004832,0.8684215616,0.7879461286
0.1036955539,1.1280141739,0.1005744348,0.6932221556
0.376274583,2.5236170579,3.8933910993,1.2779542244
0.0992946816,0.3590443664,0.2456337157,0.6270137039
0.1372522054,0.4320112968,0.7156257858,0.8361275267
0.1044421305,0.5665576355,0.2765796956,0.6614289882
0.1489616692,0.7897724947,0.4158366052,0.8990583323
0.104952946,0.5494673815,0.2069512407,0.6483184037
0.1323405175,0.5976749494,0.1798735083,0.8616931665
0.1519479754,0.5887327196,0.6788774346,0.882342337
0.1071140887,0.4959037095,0.1276521672,0.7273096753
0.1384703039,0.6444665826,0.5028721738,0.8200670607
0.1361519873,1.0767192509,0.8548826954,0.7246875584
0.1103361559,0.6015404825,0.1605322709,0.7066605047
0.15996385,1.0309277907,0.8877627991,0.8407162312
0.1301400813,0.7125147005,0.4409802139,0.8033510654
0.1620856991,0.7200426701,0.5666982574,0.9256072659
0.1029882709,0.3660340941,0.3984294915,0.6604456943
0.1090787638,0.3593087029,0.0947720635,0.7187877954
0.1775280457,1.0509714372,1.040558575,0.8308832929
0.1047564785,0.3134232297,0.1179815485,0.7171489723
0.1051887071,0.3682951882,1.6014544611,0.5565443121
0.1368199768,0.572682588,0.220490107,0.9220018552
0.1147370282,0.7612382629,0.1953464983,0.7017440355
0.2131672528,2.1716073924,1.3345453843,1.0331140588
0.1023202813,0.5129145429,0.1856758795,0.6234082931
0.1207096407,0.4528859887,0.3906929966,0.6814226295
0.1029096839,0.779645176,0.5473570199,0.6401242884
0.1044421305,0.7905207704,0.1856758795,0.5870264211
0.1200809446,0.2983558081,0.417770729,0.7551696674
0.2192970392,1.1219573986,1.4293174478,1.3258078579
0.1347767147,0.6885983443,1.0792410499,0.8420272897
0.201772137,3.4344587947,1.2165638358,1.0970281583
0.3903023635,5.6862166123,1.4738022939,1.7292860959
0.1026739229,0.7626903197,0.1547298996,0.6453685222
0.1478614511,1.1761614587,0.0773649498,0.8757870448
0.1030668579,0.3742529269,0.1914782508,0.6643788697
0.3544666889,1.431842107,4.3749879119,1.8872686392
0.1030275644,0.651972544,0.5454228962,0.5834210104
0.1075463172,0.3530385446,0.1663346421,0.7197710892
0.1063282186,0.5463419907,0.3810223778,0.7017440355
0.1750525551,0.4178887886,2.2029669459,0.8685762233
0.1055816421,0.4292999934,0.1469934046,0.6715896912
0.3333660779,2.0943613199,3.402123668,1.4110266571
0.1789033183,0.4444662123,1.967003849,0.9721498409
0.1801607104,0.7615346548,0.5705665049,1.0606462863
0.1172518124,0.5015396993,0.2514360869,0.7679524873
0.1036955539,0.3325205276,0.0812331973,0.6899445095
